symbol,has_image,vcp_detected,vcp_confidence,cup_handle_detected,cup_handle_confidence,detection_date,error
AAMI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SIFY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
JCI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ELVA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MPAA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SAN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GBTC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
YALA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MAG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CCB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ODC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CBRL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VIRT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BLOK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NYC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ALGM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CSV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
IMMX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BITQ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PSIL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HYMC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARMN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BASE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SYF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
STCE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SAND,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LFCR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PBPB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PGEN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NEU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OMAB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PBI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CCEC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WILC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SLM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARKK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ATAT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HEES,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EMX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WEBL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KEQU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KEN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DRS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MYRG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CAKE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
UFO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LITE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ROK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BWAY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SHLD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AVGO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ACMR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PRA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EURL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AIBU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SURG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VIK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TWI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RERE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NUKZ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PRIM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
STN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PPLT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TCBX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PLTM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
STNE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SSBI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARKD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MCB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARKX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
JOYY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
USFD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ESQ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HSBC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MOS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DBD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CTLP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FBIOP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GENI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PAAS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SANM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DXPE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SNEX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FNGO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
UNTY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DLTR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WBD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FSM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GREK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARKA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CHEF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BWEB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FBL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
