date,Open,High,Low,Close,Adj Close,Volume,symbol
2025-01-16 05:00:00+00:00,25.0,26.0,25.0,25.0,25.0,1449,CBIO
2025-01-17 05:00:00+00:00,25.0,28.0,25.0,26.0,26.0,2256,CBIO
2025-01-21 05:00:00+00:00,27.0,27.0,25.0,26.0,26.0,1382,CBIO
2025-01-22 05:00:00+00:00,26.0,27.0,26.0,26.0,26.0,1882,CBIO
2025-01-23 05:00:00+00:00,25.0,27.0,25.0,27.0,27.0,1287,CBIO
2025-01-24 05:00:00+00:00,27.0,27.0,26.0,27.0,27.0,2384,CBIO
2025-01-27 05:00:00+00:00,27.0,27.0,25.0,26.0,26.0,1997,CBIO
2025-01-28 05:00:00+00:00,26.0,27.0,25.0,25.0,25.0,840,CBIO
2025-01-29 05:00:00+00:00,25.0,26.0,24.0,25.0,25.0,1778,CBIO
2025-01-30 05:00:00+00:00,25.0,29.0,25.0,29.0,29.0,10944,CBIO
2025-01-31 05:00:00+00:00,30.0,30.0,26.0,27.0,27.0,3592,CBIO
2025-02-03 05:00:00+00:00,24.0,27.0,23.0,26.0,26.0,2423,CBIO
2025-02-04 05:00:00+00:00,26.0,27.0,26.0,27.0,27.0,2707,CBIO
2025-02-05 05:00:00+00:00,26.0,29.0,26.0,28.0,28.0,2685,CBIO
2025-02-06 05:00:00+00:00,29.0,29.0,26.0,27.0,27.0,1996,CBIO
2025-02-07 05:00:00+00:00,27.0,27.0,26.0,27.0,27.0,2483,CBIO
2025-02-10 05:00:00+00:00,27.0,28.0,26.0,26.0,26.0,1431,CBIO
2025-02-11 05:00:00+00:00,25.0,28.0,25.0,28.0,28.0,3263,CBIO
2025-02-12 05:00:00+00:00,27.0,28.0,26.0,26.0,26.0,1250,CBIO
2025-02-13 05:00:00+00:00,25.0,29.0,25.0,28.0,28.0,7302,CBIO
2025-02-14 05:00:00+00:00,29.0,30.0,26.0,29.0,29.0,131356,CBIO
2025-02-18 05:00:00+00:00,35.0,37.0,31.0,36.0,36.0,470125,CBIO
2025-02-19 05:00:00+00:00,32.0,33.0,29.0,31.0,31.0,42607,CBIO
2025-02-20 05:00:00+00:00,28.0,31.0,25.0,30.0,30.0,22999,CBIO
2025-02-21 05:00:00+00:00,28.0,31.0,28.0,29.0,29.0,11198,CBIO
2025-02-24 05:00:00+00:00,28.0,29.0,28.0,28.0,28.0,10308,CBIO
2025-02-25 05:00:00+00:00,27.0,28.0,27.0,27.0,27.0,5671,CBIO
2025-02-26 05:00:00+00:00,26.0,29.0,26.0,28.0,28.0,3755,CBIO
2025-02-27 05:00:00+00:00,28.0,29.0,25.0,26.0,26.0,4699,CBIO
2025-02-28 05:00:00+00:00,25.0,28.0,25.0,27.0,27.0,4428,CBIO
2025-03-03 05:00:00+00:00,26.0,27.0,26.0,26.0,26.0,3984,CBIO
2025-03-04 05:00:00+00:00,26.0,26.0,24.0,25.0,25.0,3117,CBIO
2025-03-05 05:00:00+00:00,25.0,27.0,24.0,27.0,27.0,1600,CBIO
2025-03-06 05:00:00+00:00,27.0,27.0,25.0,27.0,27.0,3836,CBIO
2025-03-07 05:00:00+00:00,26.0,28.0,25.0,27.0,27.0,1503,CBIO
2025-03-10 04:00:00+00:00,27.0,27.0,26.0,26.0,26.0,1709,CBIO
2025-03-11 04:00:00+00:00,26.0,27.0,25.0,26.0,26.0,1598,CBIO
2025-03-12 04:00:00+00:00,26.0,26.0,24.0,26.0,26.0,2766,CBIO
2025-03-13 04:00:00+00:00,25.0,27.0,25.0,26.0,26.0,2381,CBIO
2025-03-14 04:00:00+00:00,27.0,27.0,26.0,26.0,26.0,1721,CBIO
2025-03-17 04:00:00+00:00,26.0,28.0,26.0,27.0,27.0,2302,CBIO
2025-03-18 04:00:00+00:00,26.0,28.0,26.0,27.0,27.0,1537,CBIO
2025-03-19 04:00:00+00:00,28.0,28.0,27.0,28.0,28.0,1975,CBIO
2025-03-20 04:00:00+00:00,28.0,28.0,27.0,27.0,27.0,1727,CBIO
2025-03-21 04:00:00+00:00,28.0,28.0,26.0,27.0,27.0,6050,CBIO
2025-03-24 04:00:00+00:00,26.0,27.0,26.0,26.0,26.0,2068,CBIO
2025-03-25 04:00:00+00:00,26.0,27.0,25.0,26.0,26.0,1065,CBIO
2025-03-26 04:00:00+00:00,26.0,26.0,24.0,24.0,24.0,1908,CBIO
2025-03-27 04:00:00+00:00,24.0,25.0,24.0,24.0,24.0,840,CBIO
2025-03-28 04:00:00+00:00,25.0,25.0,22.0,22.0,22.0,4892,CBIO
2025-03-31 04:00:00+00:00,22.0,22.0,21.0,21.0,21.0,2021,CBIO
2025-04-01 04:00:00+00:00,21.0,21.0,20.0,20.0,20.0,2294,CBIO
2025-04-02 04:00:00+00:00,20.0,22.0,19.0,21.0,21.0,2351,CBIO
2025-04-03 04:00:00+00:00,21.0,21.0,18.0,19.0,19.0,2622,CBIO
2025-04-04 04:00:00+00:00,18.0,20.0,18.0,18.0,18.0,8835,CBIO
2025-04-07 04:00:00+00:00,18.0,18.0,17.0,18.0,18.0,5005,CBIO
2025-04-08 04:00:00+00:00,19.0,20.0,18.0,18.0,18.0,3981,CBIO
2025-04-09 04:00:00+00:00,18.0,20.0,17.0,19.0,19.0,2365,CBIO
2025-04-10 04:00:00+00:00,20.0,20.0,19.0,19.0,19.0,1558,CBIO
2025-04-11 04:00:00+00:00,19.0,21.0,19.0,20.0,20.0,1254,CBIO
2025-04-14 04:00:00+00:00,20.0,23.0,20.0,22.0,22.0,5677,CBIO
2025-04-15 04:00:00+00:00,22.0,23.0,22.0,23.0,23.0,1342,CBIO
2025-04-16 04:00:00+00:00,23.0,23.0,22.0,22.0,22.0,822,CBIO
2025-04-17 04:00:00+00:00,23.0,23.0,22.0,22.0,22.0,368,CBIO
2025-04-21 04:00:00+00:00,22.0,22.0,21.0,22.0,22.0,870,CBIO
2025-04-22 04:00:00+00:00,22.0,23.0,22.0,23.0,23.0,678,CBIO
2025-04-23 04:00:00+00:00,27.0,27.0,23.0,24.0,24.0,35482,CBIO
2025-04-24 04:00:00+00:00,25.0,26.0,24.0,25.0,25.0,10597,CBIO
2025-04-25 04:00:00+00:00,25.0,28.0,25.0,26.0,26.0,6583,CBIO
2025-04-28 04:00:00+00:00,26.0,27.0,26.0,26.0,26.0,1596,CBIO
2025-04-29 04:00:00+00:00,26.0,26.0,23.0,24.0,24.0,6801,CBIO
2025-04-30 04:00:00+00:00,24.0,27.0,24.0,25.0,25.0,3641,CBIO
2025-05-01 04:00:00+00:00,25.0,27.0,24.0,26.0,26.0,2206,CBIO
2025-05-02 04:00:00+00:00,25.0,28.0,25.0,26.0,26.0,3944,CBIO
2025-05-05 04:00:00+00:00,27.0,29.0,27.0,27.0,27.0,2108,CBIO
2025-05-06 04:00:00+00:00,27.0,28.0,24.0,24.0,24.0,5758,CBIO
2025-05-07 04:00:00+00:00,25.0,25.0,24.0,24.0,24.0,837,CBIO
2025-05-08 04:00:00+00:00,25.0,26.0,23.0,24.0,24.0,2184,CBIO
2025-05-09 04:00:00+00:00,25.0,26.0,24.0,24.0,24.0,1437,CBIO
2025-05-12 04:00:00+00:00,25.0,26.0,24.0,26.0,26.0,4551,CBIO
2025-05-13 04:00:00+00:00,26.0,26.0,25.0,25.0,25.0,2844,CBIO
2025-05-14 04:00:00+00:00,27.0,27.0,23.0,24.0,24.0,5700,CBIO
2025-05-15 04:00:00+00:00,23.0,25.0,23.0,25.0,25.0,7708,CBIO
2025-05-16 04:00:00+00:00,25.0,27.0,25.0,25.0,25.0,1736,CBIO
2025-05-19 04:00:00+00:00,23.0,26.0,23.0,26.0,26.0,1360,CBIO
2025-05-20 04:00:00+00:00,27.0,28.0,25.0,26.0,26.0,3203,CBIO
2025-05-21 04:00:00+00:00,26.0,27.0,25.0,25.0,25.0,1694,CBIO
2025-05-22 04:00:00+00:00,25.0,25.0,24.0,25.0,25.0,1005,CBIO
2025-05-23 04:00:00+00:00,24.0,25.0,24.0,24.0,24.0,1244,CBIO
2025-05-27 04:00:00+00:00,24.0,25.0,22.0,23.0,23.0,5373,CBIO
2025-05-28 04:00:00+00:00,23.0,23.0,20.0,22.0,22.0,7930,CBIO
2025-05-29 04:00:00+00:00,22.0,22.0,20.0,21.0,21.0,4018,CBIO
2025-05-30 04:00:00+00:00,21.0,22.0,20.0,21.0,21.0,5873,CBIO
2025-06-02 04:00:00+00:00,21.0,22.0,20.0,20.0,20.0,4529,CBIO
2025-06-03 04:00:00+00:00,20.0,21.0,20.0,21.0,21.0,2449,CBIO
2025-06-04 04:00:00+00:00,21.0,22.0,20.0,21.0,21.0,3079,CBIO
2025-06-05 04:00:00+00:00,20.0,21.0,20.0,20.0,20.0,249185,CBIO
2025-06-06 04:00:00+00:00,21.0,21.0,18.0,19.0,19.0,587055,CBIO
2025-06-09 04:00:00+00:00,18.0,18.0,17.0,18.0,18.0,29949,CBIO
2025-06-10 04:00:00+00:00,17.0,18.0,15.0,17.0,17.0,18711,CBIO
2025-06-11 04:00:00+00:00,18.0,18.0,16.0,17.0,17.0,17915,CBIO
2025-06-12 04:00:00+00:00,16.0,17.0,15.0,17.0,17.0,18873,CBIO
2025-06-13 04:00:00+00:00,17.0,17.0,15.0,16.0,16.0,10694,CBIO
2025-06-16 04:00:00+00:00,19.31999969482422,19.31999969482422,14.90999984741211,15.800000190734863,15.800000190734863,21600,CBIO
2025-06-17 04:00:00+00:00,15.960000038146973,15.960000038146973,12.920000076293944,13.270000457763672,13.270000457763672,18800,CBIO
2025-06-18 04:00:00+00:00,11.0600004196167,15.8100004196167,11.0600004196167,14.619999885559082,14.619999885559082,97200,CBIO
